dataset,source_version,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes,original_or_augmented,candidate_status
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/01Apple-scab-2-Venturia-inaequalis.ashx?w=600&h=408&bc=ffffff.jpg,Apple Scab Leaf/00001_542ade26992d14b6.jpg,542ade26992d14b6f98ca21dfa2317248497efc80e0e5e329a20deb958bd092c,d64cb5f6d8d9cdce,JPEG,RGB,549,355,89421,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/11NovMW_W4-A_4b.jpg,Apple Scab Leaf/00002_360dc32f40ba9170.jpg,360dc32f40ba91703f03cbd53b9081583c3a471eba5152d061833db4892f7033,615cccc596961227,JPEG,RGB,990,743,256115,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/12-20_apple_scab1.jpg,Apple Scab Leaf/00003_c3073d29893f6d4e.jpg,c3073d29893f6d4e1c4d469726bdcd888ac957a3c4dc2b43fa3b5ad76b4b38ae,4ccc080a9098989a,JPEG,RGB,225,154,6331,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/500_F_125294801_k0A2teQwKxZfTV1pcaerZFf9Th04F04q.jpg,Apple Scab Leaf/00004_4586105daaf02368.jpg,4586105daaf02368426cd4b708e2278d0b7f8c0b48f952ccdd188e2d33312129,5275190de91387c3,JPEG,RGB,500,333,94808,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,Apple Scab Leaf/00005_2d2a97c41c74c3d8.jpg,2d2a97c41c74c3d84702c6f1e61d2a9b480e22baff6994ff4d89944e8ff05f9b,8cceaa31b9b4cdcb,JPEG,RGB,3024,4032,3660960,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple%20scab%20-%20early%20infection%20on%20leaves.JPG.jpg,Apple Scab Leaf/00006_adb60674ce7fe20f.jpg,adb60674ce7fe20fa880e813d8904f8354d3db13cf3b666484f7656b65146b99,25735b1ba6c6e732,JPEG,RGB,1712,1368,1387997,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple%20scab%20-%20late%20season%20infection%20on%20petiole%20and%20leaf%20underside.JPG.jpg,Apple Scab Leaf/00007_7b630b5a6d1ade43.jpg,7b630b5a6d1ade43a3d85085fde4c6f958d2fe8f26aa93e3da7225fc12f22bc2,e12c0ecd2a64e6a2,JPEG,RGB,745,497,227827,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab-Mulrooney.jpg,Apple Scab Leaf/00008_417e20e9c5721805.jpg,417e20e9c5721805f9669566405f97162045321c90a653f3ae1d32c290b70874,e3d20f8793078686,JPEG,RGB,600,898,333375,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab-image-01.jpg,Apple Scab Leaf/00009_aa577d05d1b89f0b.jpg,aa577d05d1b89f0bebbfdb93d73590d5058dee5f197b82111ee4f25e369aa43b,99d95d4d244d4d0e,JPEG,RGB,800,600,449407,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab-image-02.jpg,Apple Scab Leaf/00010_34d2cc48ced7ec7f.jpg,34d2cc48ced7ec7faaaf67a3a50593531c4acc38af762289487a15b16e738dc4,29cccccc4d0d0b03,JPEG,RGB,800,600,401399,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab.jpg,Apple Scab Leaf/00011_553408307413a551.jpg,553408307413a551b96ec8a40798e9e02c6064de8ddec61513b4ca502648937e,0a0734e4e9d88f8a,JPEG,RGB,200,200,17306,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab1.jpg,Apple Scab Leaf/00012_543670df5dc360f6.jpg,543670df5dc360f673b99f155a8672eb5661451bca9ef2137cf11940be8426eb,466581b1b1313536,JPEG,RGB,279,181,8917,original,NEEDS_MANUAL_REVIEW
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-Scab_1_1.jpg,Apple Scab Leaf/00013_6b152dc1fcb52418.jpg,6b152dc1fcb524189247c28e4dd4d1e75740b0ff78cc2ad2ad5276683ed2c0f7,d8e8f971f9c1e1c4,JPEG,RGB,800,533,97548,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple-scab-on-crab-apple.jpg,Apple Scab Leaf/00014_60b766ca36fda336.jpg,60b766ca36fda336b789801752087e9f5085c2e0787410734d6b81c21aa5c7e7,ca0f0a48b4b3a0d0,JPEG,RGB,4000,3000,2406311,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/AppleScab.JPG.jpg,Apple Scab Leaf/00015_6178da10736f1d71.jpg,6178da10736f1d7137599e6da5d23e51b25fd595545a36539920add126513527,7f5679e896fafa9c,JPEG,RGB,336,448,49764,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/AppleScab02.jpg,Apple Scab Leaf/00016_10b9837a09955337.jpg,10b9837a099553374867b2450a095df16d7092f3df4187f65e3a70975a509e9c,0c1c141434b43131,JPEG,RGB,904,318,337851,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/AppleScab03.jpg,Apple Scab Leaf/00017_7ed19d33429f28d2.jpg,7ed19d33429f28d2e4c5631c14f9d4410d74e9cdff369af43327182c2294e3fb,b2e26eefa48c0a12,JPEG,RGB,480,310,30646,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/AppleScab14.jpg,Apple Scab Leaf/00018_d8a9ca5a9192195b.jpg,d8a9ca5a9192195bfd939e45a47f9024cd6f10b6ef2e42621af78c3c099d310d,1bbaea4effeceefb,JPEG,RGB,480,320,28257,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple_Scab163.jpg,Apple Scab Leaf/00019_11813484d19dccae.jpg,11813484d19dccaecb3a41332959b4785d99fd18523cfb98cb3b6d8d95c98ea2,0a5372603a3c256a,JPEG,RGB,800,600,42318,original,APPROVED_CANDIDATE
