dataset,source_version,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes,original_or_augmented,candidate_status
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1).jpeg,EB/early-blight (1).jpeg,9d76a69b12f1819659406149a9524e005dfdae8aec491e362998d26865a09ddc,1ffce1e50d162e3c,JPEG,RGB,404,363,18226,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1).JPG,EB/early-blight (1).JPG,cb3589529a33ba0082bad9eb0aab4bb9713d726280170e53269b90028d916625,751f1b31181212bc,MPO,RGB,4496,3000,5403273,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (10).JPG,EB/early-blight (10).JPG,121e23cfee120f20cb8ef153b7eccf098be3a61db89cc7ddef9a79893e68c798,762e26262e8fc666,MPO,RGB,4496,3000,6665038,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (100).jpeg,EB/early-blight (100).jpeg,68fe6d722389c2077277e51ad5b5f85200469a08abdc788361c06f94c33971ce,a93d3931878ec872,JPEG,RGB,719,1600,114571,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (100).jpg,EB/early-blight (100).jpg,0496f9d1fd6c6ff2345c09b472d850e9f091cc3a792e0585432a72966445821c,ee3b1b10d2963c39,JPEG,RGB,3468,4624,1187883,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1001).jpg,EB/early-blight (1001).jpg,359299330cfadc8f0d968fa04dab2b09ead1e4b8084ba9adb59b882d890c1677,9e8e9e8e8e8e9e96,JPEG,RGB,1600,719,71973,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1002).jpg,EB/early-blight (1002).jpg,1565870d0b617653d5c0428290c4fd56dfaa477816ca16090f0bd0a3dc95b401,908b9672bb0997fb,JPEG,RGB,719,1600,96563,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1003).jpg,EB/early-blight (1003).jpg,687ec495b85ed041a3acec2be2dc4b371df12ee04ea12ef7adb5634afd7ab1a5,9696969696969696,JPEG,RGB,8160,3672,1697511,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1004).jpg,EB/early-blight (1004).jpg,ca21a128338b7ecc926c3b97a04fdcb8fa7c169f1723b146bedc999c1c035517,8e8e868686969696,JPEG,RGB,8160,3672,1251192,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1005).jpg,EB/early-blight (1005).jpg,54062b5bb9211a8c89892b84af8071f2ce13e4da739abdecb3290e9b1832576b,b4e3871f78246faf,JPEG,RGB,719,1600,98658,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1006).jpg,EB/early-blight (1006).jpg,bc2193e408c3d80ee76fd3f6d49972c18383fe7f136efc227ac37b1cd448dbb1,24301941c363d6d6,JPEG,RGB,719,1600,102925,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1007).jpg,EB/early-blight (1007).jpg,2b43bca49718fa58434bfbffb1a2c57b9777f891a1b3808ad74db49213837afe,9e9e9e9e9e9e9696,JPEG,RGB,8160,3672,2009685,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1008).jpg,EB/early-blight (1008).jpg,1a5bfd291c061fdf0d263deb5a60318f7fd262d096e11aa816aaca22d2a4205c,96969e9696969696,JPEG,RGB,8160,3672,1588325,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1009).jpg,EB/early-blight (1009).jpg,ee3a3f80a9ae55f3c29b60574f2107b96ffa4320ba25eaadc4b858fd3e112496,1000f119612d0002,JPEG,RGB,719,1600,79097,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (101).jpeg,EB/early-blight (101).jpeg,d2f55376f9dfb87e596cf19448896dc8742dd37991215207a306db4143b7bc0f,292d8908540861b7,JPEG,RGB,719,1600,86100,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (101).jpg,EB/early-blight (101).jpg,b732ff163708d3f23eb24e8867c75791ccb8db11af3cd75a268c4562bd3fcc2d,646059336755c66e,JPEG,RGB,3468,4624,1617985,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1010).jpg,EB/early-blight (1010).jpg,3c0cac43b9be6b78a18afd884de1fcba60a95f6a6ddadb2bff77eae1f5e589cd,00c080c0f0300020,JPEG,RGB,719,1600,49301,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1011).jpg,EB/early-blight (1011).jpg,82a97c8b76a0a5674c27c1c7f2624546d32a2e4f25365e0e65ea9f7c860af2da,b1ec8e1e7363436a,JPEG,RGB,719,1600,118531,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1012).jpg,EB/early-blight (1012).jpg,974a83b640db866ddb76601ff7b7396c0e05129d9b217fdad4fd8f278f0168b5,04006dc563710004,JPEG,RGB,719,1600,101442,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1013).jpg,EB/early-blight (1013).jpg,65325d6b26d358948367600573366fece9de7b01b391e2e2fd6c91a7fc07c317,8696969696968686,JPEG,RGB,1600,719,38773,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1014).jpg,EB/early-blight (1014).jpg,3ad66d44dd518a293fab8a6f3be4d8b6a85662bbdda18fefa80f1d73edebc84e,28282282c2c64568,JPEG,RGB,1600,719,170220,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1015).jpg,EB/early-blight (1015).jpg,b6ba4883e05ab6d9489d925858595f044ee3b2d33a7a54174a0fa7295ccc3727,9296969696969696,JPEG,RGB,8160,3672,1590701,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1016).jpg,EB/early-blight (1016).jpg,e9f39cdb6f06a8730dc05676855ed7a43bd48bdd8f3b0d34e199b30194d63b61,1030296960243031,JPEG,RGB,8160,3672,1609901,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1017).jpg,EB/early-blight (1017).jpg,8c935dce6395fd0c9bcdf1fa205cd20a5ec888e34fa005c9ce9b99b9f21b156b,01005b19c38b0009,JPEG,RGB,719,1600,87187,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1018).jpg,EB/early-blight (1018).jpg,e6f0c5da189bc7db8e1663d472cb9655853a62a6a8cfcab08ae6ea8eedf1c2cf,200073cbc3cf0001,JPEG,RGB,719,1600,57083,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1019).jpg,EB/early-blight (1019).jpg,a4eda6481c51da5cdf2621386e3ff5f1c2921c56136430dfac79eb0cb0cdd67a,0400d260e9c700c8,JPEG,RGB,719,1600,113652,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (102).jpeg,EB/early-blight (102).jpeg,bdaa6b47a037681a732bbfbe060d4bb35e84847082a7220cd7025aee236a3d3b,2b29696187bed8f3,JPEG,RGB,719,1600,108751,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (102).jpg,EB/early-blight (102).jpg,79494063ee6b32526140678b1b24c0b36bf6a178fab58164e89fc6911f76b86b,0100070923000020,JPEG,RGB,719,1600,62612,original,NEEDS_MANUAL_REVIEW
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1020).jpg,EB/early-blight (1020).jpg,76948758b234325fd541df52e39d7aa2b0759e029fd645ff2caec7bb9a845305,cc2e45d79fb93b7a,JPEG,RGB,719,1600,117507,original,APPROVED_CANDIDATE
PLDD-UP,1,training_candidate,EB,MATCHED,Potato Early blight,EB/early-blight (1021).jpg,EB/early-blight (1021).jpg,08a72cd1659c9eed489ba210c5d1b09be1ff5b442d7e00d2caaf899ef2883daf,9696969696969696,JPEG,RGB,8160,3672,1305469,original,NEEDS_MANUAL_REVIEW
