dataset,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_2.jpg,Bacterial Soft Rot/01229_2c005eb14d4e61d9.jpg,2c005eb14d4e61d939d8aeab773b8c6078a066a7f1ca7838e4473435bf5e5791,9b12336143f422ae,JPEG,RGB,224,224,22525
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_5.jpg,Bacterial Soft Rot/01237_fc1e28388b2d48d1.jpg,fc1e28388b2d48d199aea324869c21468ef19cbd79600d421b02e8b84cb26edb,868c9999b147c484,JPEG,RGB,224,224,13840
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_6.jpg,Bacterial Soft Rot/01238_c5494dc75f759925.jpg,c5494dc75f7599255866643bd39a847a76bf6e6c65cc4d5322a0a68ecf1f4cad,c585193333396302,JPEG,RGB,224,224,14871
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_0.jpg,Bacterial Soft Rot/01239_195e3305aa9b77e3.jpg,195e3305aa9b77e3483b9fbf588f05498f6b2ca2c9722cd1cb67b3711a20e495,792d2d175b0f455b,JPEG,RGB,224,224,15983
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_1.jpg,Bacterial Soft Rot/01240_4e36336cf43e7f9e.jpg,4e36336cf43e7f9e8ab230d2e2ad275a9e9d3442c33382179198cb7e39353c18,0e267c9ccc860dd8,JPEG,RGB,224,224,18144
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_4.jpg,Bacterial Soft Rot/01241_1efdf29d7493c8e8.jpg,1efdf29d7493c8e86ee9ffde7d8793116fa5a14b02a251a3b3862cb3d51564ec,6921495555ead280,JPEG,RGB,224,224,18000
Potato Leaf Disease Dataset,training_candidate,Bacterial Soft Rot,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Bacterial Soft Rot/orig_3.jpg,Bacterial Soft Rot/01259_7328cc4195820481.jpg,7328cc4195820481c7e22a33461dac4c04e1baeb01f0449a12262e40d8717d39,87839adc6d49ade6,JPEG,RGB,224,224,22798
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_10.jpg,Healthy/01374_b4b774205b5bd072.jpg,b4b774205b5bd072efc2b0eed3e54f7dd9211ef52532e70e10f243dc1573bd80,18193627a58bb236,JPEG,RGB,224,224,21050
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_14.jpg,Healthy/01375_b4b774205b5bd072.jpg,b4b774205b5bd072efc2b0eed3e54f7dd9211ef52532e70e10f243dc1573bd80,18193627a58bb236,JPEG,RGB,224,224,21050
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_11.jpg,Healthy/01376_b4b774205b5bd072.jpg,b4b774205b5bd072efc2b0eed3e54f7dd9211ef52532e70e10f243dc1573bd80,18193627a58bb236,JPEG,RGB,224,224,21050
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_13.jpg,Healthy/01377_5432c89137b654f7.jpg,5432c89137b654f7d34f19071485a178bf4c3dd06f20a44e70ab8778d55c588d,32734d5e1eb36a6a,JPEG,RGB,224,224,21320
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_6.jpg,Healthy/01378_5432c89137b654f7.jpg,5432c89137b654f7d34f19071485a178bf4c3dd06f20a44e70ab8778d55c588d,32734d5e1eb36a6a,JPEG,RGB,224,224,21320
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_5.jpg,Healthy/01379_5432c89137b654f7.jpg,5432c89137b654f7d34f19071485a178bf4c3dd06f20a44e70ab8778d55c588d,32734d5e1eb36a6a,JPEG,RGB,224,224,21320
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_12.jpg,Healthy/01384_5432c89137b654f7.jpg,5432c89137b654f7d34f19071485a178bf4c3dd06f20a44e70ab8778d55c588d,32734d5e1eb36a6a,JPEG,RGB,224,224,21320
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_15.jpg,Healthy/01385_b4b774205b5bd072.jpg,b4b774205b5bd072efc2b0eed3e54f7dd9211ef52532e70e10f243dc1573bd80,18193627a58bb236,JPEG,RGB,224,224,21050
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_9.jpg,Healthy/01390_2fed258c8002dbd1.jpg,2fed258c8002dbd1bde479892593806f6afeaa1d222c5e93e8fc306f45447d5c,5b54362256f02066,JPEG,RGB,224,224,21903
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_7.jpg,Healthy/01391_2fed258c8002dbd1.jpg,2fed258c8002dbd1bde479892593806f6afeaa1d222c5e93e8fc306f45447d5c,5b54362256f02066,JPEG,RGB,224,224,21903
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_3.jpg,Healthy/01400_b275bbad5e39cf87.jpg,b275bbad5e39cf87852625c87080cd71ebe7b550bc15f18dc7caac210f87e447,1b647caccccb2b37,JPEG,RGB,224,224,20836
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_8.jpg,Healthy/01403_2fed258c8002dbd1.jpg,2fed258c8002dbd1bde479892593806f6afeaa1d222c5e93e8fc306f45447d5c,5b54362256f02066,JPEG,RGB,224,224,21903
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_4.jpg,Healthy/01411_b275bbad5e39cf87.jpg,b275bbad5e39cf87852625c87080cd71ebe7b550bc15f18dc7caac210f87e447,1b647caccccb2b37,JPEG,RGB,224,224,20836
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_2.jpg,Healthy/01416_b275bbad5e39cf87.jpg,b275bbad5e39cf87852625c87080cd71ebe7b550bc15f18dc7caac210f87e447,1b647caccccb2b37,JPEG,RGB,224,224,20836
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_30.jpg,Viral Leaf Roll/01467_e338986e974836f8.jpg,e338986e974836f8c0c78c8e0b04ea1155143f29fb34f2397f726c26840bef94,585468573daf7978,JPEG,RGB,224,224,19716
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_32.jpg,Viral Leaf Roll/01484_06d96fa130c8b0bc.jpg,06d96fa130c8b0bc7fabca2b0174ff14e1a1fae25c37b25db3b83d035f31555b,b364646663b3e1e2,JPEG,RGB,224,224,22370
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_20.jpg,Viral Leaf Roll/01500_b50a48eaa5a7ad1e.jpg,b50a48eaa5a7ad1ea9e017c4f6c3a08af21e8dd768b556e47298e669687020bd,dc5c317569dc666c,JPEG,RGB,224,224,22819
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_18.jpg,Viral Leaf Roll/01504_68fc962645a5dfb4.jpg,68fc962645a5dfb48e742a06d182241855ebb3e79cba77878023ab53b60c33f1,eee735bfe6efafdb,JPEG,RGB,224,224,19097
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_29.jpg,Viral Leaf Roll/01507_1c80824355d267ac.jpg,1c80824355d267ac53ca2773743942dc77e7d42bf21aaeaf0bf8c71a7e3c063c,585471572fbc7b79,JPEG,RGB,224,224,19865
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_25.jpg,Viral Leaf Roll/01510_182d8aad5380f363.jpg,182d8aad5380f36385c76dd63c2af56a12d4239f13298b2f0fb4cc3fb6ef134f,281c14582567e0e4,JPEG,RGB,224,224,17294
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_17.jpg,Viral Leaf Roll/01511_2593350f2efecae3.jpg,2593350f2efecae3fb7b487258046ea4a2d636a43e84f1b986277360d4a857f4,6ced7b67efadafe9,JPEG,RGB,224,224,20860
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_21.jpg,Viral Leaf Roll/01512_32545cc78ac591d0.jpg,32545cc78ac591d016e495c82e7365bcd7f857e7ed510decd0ed0d3bf221dff4,0b2c3e367c6e1773,JPEG,RGB,224,224,23146
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_1.jpg,Healthy/01515_2fed258c8002dbd1.jpg,2fed258c8002dbd1bde479892593806f6afeaa1d222c5e93e8fc306f45447d5c,5b54362256f02066,JPEG,RGB,224,224,21903
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_28.jpg,Viral Leaf Roll/01516_dbac9e515dd9c9ad.jpg,dbac9e515dd9c9ad1368064a892381d4c7f393d62cc360471c82608a0db59f08,b44d2dc970d3c3e4,JPEG,RGB,224,224,17529
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_26.jpg,Viral Leaf Roll/01517_50592fc67b720e84.jpg,50592fc67b720e8425aff11bd61f0b994736b748059b3630eeca737c733fecf5,a2cc6e96cc4bf532,JPEG,RGB,224,224,19197
