dataset,source_version,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes,original_or_augmented,candidate_status
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1002.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1002.JPG,3da131b432d5e8a14f36d133bb496628889104f067b7cae69ef9b8f5aadd466c,f73bff5bddb3f6ec,JPEG,RGB,4032,3024,3426238,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1003.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1003.JPG,49624af47913bb20eaa6764ac5ab993077623c09fc5470d988194d0882a67f26,67630901672f8fcf,JPEG,RGB,4032,3024,3448303,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1004.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1004.JPG,1c3c2e9b9c9a736054ca3b051f7518484fa3e014fefa279e86dcb29bd0ffe252,be36079d91c3e3a3,JPEG,RGB,4032,3024,3813040,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1005.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1005.JPG,f08609a3115e6d60cf4ab8fa1eb4ff05c567b882177de59f3b7a3d2df0c8bb3d,cbcb05030303060c,JPEG,RGB,4032,3024,3912511,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1006.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1006.JPG,3121c6948327b053e60241c8763283ea3fa208a27f31e063b7ca63272e9d4e26,799bfffbffb97673,JPEG,RGB,4032,3024,3443036,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1007.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1007.JPG,0f3d6a035f7e604dfb7d5847de82c5811b55e4b25afc1234e9b545897b5fc3a4,0121099197969e9d,JPEG,RGB,4032,3024,3702699,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1008.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1008.JPG,002c38e39c42e8bd35e7adb57e4ff67fe6324e1b500594321c7281c12a0d6289,270501291999c3a3,JPEG,RGB,4032,3024,3630895,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1009.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1009.JPG,4e50b2087b6c0fb98b11a0713f540a06009ebdf6bf689c2a796e7e6a67a67510,f13b37337739ece1,JPEG,RGB,4032,3024,3906593,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1010.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1010.JPG,a63ab9f4f0b6524793962213d3864ff0706e6f619e25e215b3e1f52bb19ee22a,216b130626064ccc,JPEG,RGB,4032,3024,2927021,original,NOT_SUPPORTED
Seasonal Corn Leaf Disease Dataset,1,training_candidate,Bacterial Leaf Streak,NOT_SUPPORTED,,Final corn dataset/Bacterial Leaf Streak/DSC_1011.JPG,Final corn dataset/Bacterial Leaf Streak/DSC_1011.JPG,367f605d4e78d90ead6b118df3ed2649776275c36f1796eec856df267d631e1d,93b8871eb7674f4f,JPEG,RGB,4032,3024,3660972,original,NOT_SUPPORTED
