target_index,target_class,total,train,validation,test,train_percentage,validation_percentage,test_percentage,train_deviation_percentage_points,validation_deviation_percentage_points,test_deviation_percentage_points,historical_total,historical_train,historical_validation,historical_test,real_world_total,real_world_train,real_world_validation,real_world_test,real_world_group_count,real_world_validation_group_count,real_world_test_group_count,real_world_holdout_status
0,Apple Apple scab,713,571,71,71,80.08415147,9.95792426,9.95792426,0.08415147,-0.04207574,-0.04207574,630,504,63,63,83,67,8,8,82,8,8,LIMITED_REAL_WORLD_HOLDOUT
1,Apple Black rot,621,497,62,62,80.03220612,9.98389694,9.98389694,0.03220612,-0.01610306,-0.01610306,621,497,62,62,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
2,Apple Cedar apple rust,275,220,28,27,80.0,10.18181818,9.81818182,0.0,0.18181818,-0.18181818,275,220,28,27,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
3,Apple healthy,1638,1310,164,164,79.97557998,10.01221001,10.01221001,-0.02442002,0.01221001,0.01221001,1638,1310,164,164,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
4,Background without leaves,1141,913,114,114,80.01752848,9.99123576,9.99123576,0.01752848,-0.00876424,-0.00876424,1141,913,114,114,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
5,Blueberry healthy,1502,1202,150,150,80.02663116,9.98668442,9.98668442,0.02663116,-0.01331558,-0.01331558,1502,1202,150,150,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
6,Cherry Powdery mildew,1052,842,105,105,80.03802281,9.98098859,9.98098859,0.03802281,-0.01901141,-0.01901141,1052,842,105,105,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
7,Cherry healthy,854,683,86,85,79.9765808,10.07025761,9.95316159,-0.0234192,0.07025761,-0.04683841,854,683,86,85,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
8,Corn Cercospora leaf spot,1463,1171,146,146,80.04101162,9.97949419,9.97949419,0.04101162,-0.02050581,-0.02050581,513,411,51,51,950,760,95,95,889,91,87,ROBUST_REAL_WORLD_HOLDOUT
9,Corn Common rust,1321,1057,132,132,80.01514005,9.99242998,9.99242998,0.01514005,-0.00757002,-0.00757002,1192,954,119,119,129,103,13,13,127,13,13,LIMITED_REAL_WORLD_HOLDOUT
