exact_duplicate_group_id,sha256,record_id,dataset,role,source_path,source_label,mapping_status,target_class,benchmark_leakage,cleaning_status,exclusion_reason
exact_4b048b8e2f1df8139a3d,4b048b8e2f1df8139a3dc297b280ce846c83d0bbc0891a928d570dddeb3f0438,rec_05c72f775e8205d5c5a9,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/IMG_20240210_154256.jpg,Healthy,MATCHED,Corn healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_4b048b8e2f1df8139a3d,4b048b8e2f1df8139a3dc297b280ce846c83d0bbc0891a928d570dddeb3f0438,rec_cc19e671a3d80fddaca4,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Gray_leaf_spot/IMG_20240210_154256.jpg,Gray_leaf_spot,MATCHED,Corn Cercospora leaf spot,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_5750e5fd370343e938ec,5750e5fd370343e938ec2272794bc53ca2ef15a958e7c0cda964d7855f28f39b,rec_7320ed8a4c9e15faf8c2,PLDD-UP,training_candidate,EB/early-blight (4522).JPG,EB,MATCHED,Potato Early blight,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_5750e5fd370343e938ec,5750e5fd370343e938ec2272794bc53ca2ef15a958e7c0cda964d7855f28f39b,rec_b130dc52fb0005e6125f,PLDD-UP,training_candidate,Healthy/healthy-leaf (9).JPG,Healthy,MATCHED,Potato healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_64c0f7b5701e815769ba,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,rec_3f087cf55e91f01512a9,PlantDoc,training_candidate,train/Potato leaf late blight/backus-056-potato-blight.jpg,Potato leaf late blight,MATCHED,Potato Late blight,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_64c0f7b5701e815769ba,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,rec_c8871055309a21bb37f1,PlantDoc,locked_test,test/Potato leaf early blight/backus-056-potato-blight.jpg,Potato leaf early blight,MATCHED,Potato Early blight,false,EXCLUDE,LOCKED_BENCHMARK
exact_6e777d1b6829140e6657,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,rec_194258ee144151730c6b,PlantDoc,training_candidate,train/Corn Gray leaf spot/2015070295153021.jpg,Corn Gray leaf spot,MATCHED,Corn Cercospora leaf spot,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_6e777d1b6829140e6657,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,rec_da6721539ccec76df922,PlantDoc,locked_test,test/Corn leaf blight/2015070295153021.jpg,Corn leaf blight,AMBIGUOUS,,false,EXCLUDE,LOCKED_BENCHMARK
exact_76469905b91d8f1e4644,76469905b91d8f1e46443e1c4ea305ac3124bd144b2afcb06eaf97a5e16f3c5e,rec_5949e15d9726c8e8b39a,PLDD-UP,training_candidate,EB/early-blight (4207).jpg,EB,MATCHED,Potato Early blight,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_76469905b91d8f1e4644,76469905b91d8f1e46443e1c4ea305ac3124bd144b2afcb06eaf97a5e16f3c5e,rec_963a9a6f3a09c6a1cd51,PLDD-UP,training_candidate,Healthy/healthy-leaf (161).jpg,Healthy,MATCHED,Potato healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_836ed53ca232ec4c987e,836ed53ca232ec4c987e0d937018a58c68ac8cf762626d7b4ec82bfa87303b7b,rec_091f4721a1017490f5b8,PLDD-UP,training_candidate,Healthy/healthy-leaf (163).jpg,Healthy,MATCHED,Potato healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_836ed53ca232ec4c987e,836ed53ca232ec4c987e0d937018a58c68ac8cf762626d7b4ec82bfa87303b7b,rec_1e74a0088ea846f0822c,PLDD-UP,training_candidate,EB/early-blight (4205).jpg,EB,MATCHED,Potato Early blight,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_9120578a76fd8539da22,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,rec_5180b8a68d9de865ec5f,PlantDoc,locked_test,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,Corn leaf blight,AMBIGUOUS,,false,EXCLUDE,LOCKED_BENCHMARK
exact_9120578a76fd8539da22,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,rec_9422d68f50e6f2c119e0,PlantDoc,training_candidate,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,Corn Gray leaf spot,MATCHED,Corn Cercospora leaf spot,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_9433da9e4da4efac37c7,9433da9e4da4efac37c71780320cb026d3e6ca93c6b8f6ae9878310d67763b8e,rec_f019dd5d0bd02c96c539,PLDD-UP,training_candidate,EB/early-blight (4208).jpg,EB,MATCHED,Potato Early blight,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_9433da9e4da4efac37c7,9433da9e4da4efac37c71780320cb026d3e6ca93c6b8f6ae9878310d67763b8e,rec_fe7cbaa14966df606994,PLDD-UP,training_candidate,Healthy/healthy-leaf (160).jpg,Healthy,MATCHED,Potato healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_9dd93b4217495fbb725c,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,rec_941bce78cef3a7131dca,PlantDoc,training_candidate,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,Potato leaf early blight,MATCHED,Potato Early blight,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_9dd93b4217495fbb725c,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,rec_df2e3e26aa9ecb606ffc,PlantDoc,locked_test,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,Potato leaf late blight,MATCHED,Potato Late blight,false,EXCLUDE,LOCKED_BENCHMARK
exact_a981ee59e5e1dcafd0d2,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,rec_764b80b4ca5ae8bde5d7,PlantDoc,training_candidate,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,Potato leaf early blight,MATCHED,Potato Early blight,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_a981ee59e5e1dcafd0d2,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,rec_f407156ec69fc5b8946b,PlantDoc,locked_test,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,Potato leaf late blight,MATCHED,Potato Late blight,false,EXCLUDE,LOCKED_BENCHMARK
exact_b178a8c0b871c213e568,b178a8c0b871c213e568c7414f1345bec4b5d7ff4a63ee01a1f293a6c7913c08,rec_9562a699d5085301b842,PLDD-UP,training_candidate,Healthy/healthy-leaf (162).jpg,Healthy,MATCHED,Potato healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_b178a8c0b871c213e568,b178a8c0b871c213e568c7414f1345bec4b5d7ff4a63ee01a1f293a6c7913c08,rec_e92be7d8332f60913f5e,PLDD-UP,training_candidate,EB/early-blight (4206).jpg,EB,MATCHED,Potato Early blight,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_c53ad8d40c38debfbc0b,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,rec_8dff39e753ee58c55ccb,PlantDoc,locked_test,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,Potato leaf late blight,MATCHED,Potato Late blight,false,EXCLUDE,LOCKED_BENCHMARK
exact_c53ad8d40c38debfbc0b,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,rec_d652f120add0bdbe6695,PlantDoc,training_candidate,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,Potato leaf early blight,MATCHED,Potato Early blight,true,EXCLUDE,EXACT_BENCHMARK_LEAKAGE
exact_db94f7e2e419cc876691,db94f7e2e419cc876691010b7c6a4d58beca4417ea480bda900a2ea1f30c91c5,rec_1c3a826385563ebbc42f,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Gray_leaf_spot/IMG_20240210_154301.jpg,Gray_leaf_spot,MATCHED,Corn Cercospora leaf spot,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_db94f7e2e419cc876691,db94f7e2e419cc876691010b7c6a4d58beca4417ea480bda900a2ea1f30c91c5,rec_f60ce82004491b47aa11,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/IMG_20240210_154301.jpg,Healthy,MATCHED,Corn healthy,false,EXCLUDE,EXACT_LABEL_CONFLICT
exact_e23a29c94b58aac28e92,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,rec_7b8060297e3be2854dd3,PlantDoc,locked_test,test/Tomato leaf bacterial spot/tomato_V8.jpg,Tomato leaf bacterial spot,MATCHED,Tomato Bacterial spot,false,EXCLUDE,LOCKED_BENCHMARK
