target_index,target_class,train_count,relative_frequency,unweighted_weight,inverse_sqrt_candidate,median_sqrt_candidate,normalized_weight,clipped_recommended_weight
0,Apple Apple scab,571,0.0097014799,1.0,10.15268722,1.39237352,1.76317874,1.76317874
1,Apple Black rot,497,0.0084441953,1.0,10.88230432,1.49243566,1.88988858,1.88988858
2,Apple Cedar apple rust,220,0.0037378732,1.0,16.35639992,2.24317146,2.84055404,2.84055404
3,Apple healthy,1310,0.0222573356,1.0,6.70291039,0.91925958,1.16406906,1.16406906
4,Background without leaves,913,0.0155121736,1.0,8.02904094,1.10112956,1.39437314,1.39437314
5,Blueberry healthy,1202,0.0204223797,1.0,6.99756316,0.95966924,1.2152403,1.2152403
6,Cherry Powdery mildew,842,0.01430586,1.0,8.36070722,1.14661538,1.45197236,1.45197236
7,Cherry healthy,683,0.0116043971,1.0,9.28300767,1.27310276,1.61214479,1.61214479
8,Corn Cercospora leaf spot,1171,0.0198956794,1.0,7.08958173,0.97228898,1.23122081,1.23122081
9,Corn Common rust,1057,0.0179587815,1.0,7.46210863,1.02337857,1.29591615,1.29591615
10,Corn Northern Leaf Blight,788,0.013388382,1.0,8.64243162,1.18525201,1.50089837,1.50089837
11,Corn healthy,1755,0.0298180335,1.0,5.79109248,0.79420982,1.0057171,1.0057171
12,Grape Black rot,989,0.0168034388,1.0,7.714378,1.05797563,1.33972681,1.33972681
13,Grape Esca,1107,0.0188082981,1.0,7.29164053,1.0,1.2663116,1.2663116
14,Grape Leaf blight,861,0.0146286763,1.0,8.26794322,1.13389342,1.43586239,1.43586239
15,Grape healthy,339,0.0057597227,1.0,13.17647407,1.80706578,2.28830836,2.28830836
16,Orange Huanglongbing,4405,0.0748424147,1.0,3.65532591,0.50130364,0.63480661,0.63480661
17,Peach Bacterial spot,1837,0.0312112408,1.0,5.6603656,0.77628149,0.98301426,0.98301426
18,Peach healthy,288,0.0048932158,1.0,14.29561413,1.96054839,2.48266517,2.48266517
19,Bell pepper Bacterial spot,797,0.013541295,1.0,8.59349642,1.17854088,1.49239998,1.49239998
20,Bell pepper healthy,1182,0.020082573,1.0,7.05651587,0.96775422,1.22547839,1.22547839
21,Potato Early blight,4601,0.0781725198,1.0,3.57662118,0.49050981,0.62113826,0.62113826
22,Potato Late blight,5685,0.0965900403,1.0,3.21761314,0.44127424,0.55879069,0.55879069
23,Potato healthy,3634,0.0617428683,1.0,4.02445059,0.55192663,0.69891109,0.69891109
24,Raspberry healthy,297,0.0050461288,1.0,14.07734766,1.9306146,2.44475966,2.44475966
25,Soybean healthy,4072,0.0691846339,1.0,3.80185174,0.52139868,0.66025319,0.66025319
26,Squash Powdery mildew,1567,0.026623851,1.0,6.12864637,0.84050309,1.06433881,1.06433881
27,Strawberry Leaf scorch,887,0.0150704249,1.0,8.1458658,1.11715131,1.41466167,1.41466167
28,Strawberry healthy,365,0.0062014714,1.0,12.69850601,1.74151564,2.20530145,2.20530145
29,Tomato Bacterial spot,1779,0.0302258015,1.0,5.75189682,0.78883439,0.99891014,0.99891014
30,Tomato Early blight,855,0.0145267343,1.0,8.29690283,1.13786504,1.4408917,1.4408917
31,Tomato Late blight,1595,0.0270995803,1.0,6.07461443,0.83309296,1.05495528,1.05495528
32,Tomato Leaf Mold,830,0.014101976,1.0,8.42092918,1.15487443,1.46243088,1.46243088
33,Tomato Septoria leaf spot,1524,0.0258932667,1.0,6.21450551,0.8522781,1.07924964,1.07924964
34,Tomato Spider mites,1343,0.0228180165,1.0,6.62004672,0.90789538,1.14967845,1.14967845
35,Tomato Target Spot,1123,0.0190801434,1.0,7.23951017,0.99285067,1.25725832,1.25725832
36,Tomato Yellow Leaf Curl Virus,4285,0.0728035748,1.0,3.70615559,0.50827459,0.64363401,0.64363401
37,Tomato mosaic virus,334,0.0056747711,1.0,13.274734,1.82054147,2.30537279,2.30537279
38,Tomato healthy,1267,0.0215267513,1.0,6.81570451,0.93472854,1.18365759,1.18365759
