first_dataset,first_role,first_label,first_path,second_dataset,second_role,second_label,second_path,hamming_distance,same_label,cross_role,touches_locked_test
PlantDoc,training_candidate,Apple Scab Leaf,train/Apple Scab Leaf/Apple-Scab1.jpg,PlantDoc,training_candidate,Apple Scab Leaf,train/Apple Scab Leaf/applescab.jpg,0,True,False,False
PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/Septoria-leaf-spot.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomato-blight-treatment-blight.jpg,2,False,False,False
PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/green-pepper-plant-diseases-bacterial-spot-on-pepper-plant-green-pepper-plant-diseases-photos.jpg,PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/peppers_bacterial_spot_zoom.jpg,0,True,False,False
PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_1500x1500%253E.jpeg?1467983528.jpg,PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_original.jpeg?1472603886.jpg,0,True,False,False
PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_1500x1500%253E.jpeg?1472603885.jpg,PlantDoc,training_candidate,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_original.jpeg?1472603885.jpg,0,True,False,False
PlantDoc,training_candidate,Cherry leaf,train/Cherry leaf/Cherry-Fruit-and-Leaves-tp1263.jpg,PlantDoc,training_candidate,Cherry leaf,train/Cherry leaf/i-have-a-cherry-tree-5252.jpg,1,True,False,False
PlantDoc,training_candidate,Corn Gray leaf spot,train/Corn Gray leaf spot/gls99-anamosa.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/gls99-anamosa-400x334.jpg,1,False,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/28430_rel.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/28430_web.jpg,0,True,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/Corn-gray-leaf-spot-8-14-15-F1.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/corn_gray_leaf_spot.jpg,1,True,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/Figure-2-.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/Northern-corn-leaf-blight-NM-F2.jpg,0,True,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/Northern-Corn-Leaf-Blight.ashx.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/agriculture-crop-disease-northern-corn-leaf-blight-fungus-exserohilum-FRA00E.jpg,1,True,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/bacterial-corn-1.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/bacterial-corn-300x300.jpg,1,True,False,False
PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/corn-short-backlit-Xanth-lesions-halos-f2-.jpg,PlantDoc,training_candidate,Corn leaf blight,train/Corn leaf blight/corn-short-backlit-Xanth-lesions-halos-f2.jpg,2,True,False,False
