first_dataset,first_role,first_label,first_target_class,second_dataset,second_role,second_label,second_target_class,hamming_distance,same_target_class,candidate_pair_count
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,EB,Potato Early blight,0,True,82392
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,EB,Potato Early blight,1,True,59661
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,EB,Potato Early blight,2,True,55776
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,EB,Potato Early blight,3,True,52663
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,EB,Potato Early blight,4,True,39866
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,Healthy,Potato healthy,0,False,19145
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,Healthy,Potato healthy,1,False,30809
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,Healthy,Potato healthy,2,False,42508
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,Healthy,Potato healthy,3,False,51783
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,Healthy,Potato healthy,4,False,56350
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,LB,Potato Late blight,0,False,135194
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,LB,Potato Late blight,1,False,100060
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,LB,Potato Late blight,2,False,96890
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,LB,Potato Late blight,3,False,95299
PLDD-UP,training_candidate,EB,Potato Early blight,PLDD-UP,training_candidate,LB,Potato Late blight,4,False,85693
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,Healthy,Potato healthy,0,True,3277
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,Healthy,Potato healthy,1,True,4971
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,Healthy,Potato healthy,2,True,8492
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,Healthy,Potato healthy,3,True,12527
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,Healthy,Potato healthy,4,True,14689
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,LB,Potato Late blight,0,False,15174
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,LB,Potato Late blight,1,False,24867
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,LB,Potato Late blight,2,False,34800
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,LB,Potato Late blight,3,False,43093
PLDD-UP,training_candidate,Healthy,Potato healthy,PLDD-UP,training_candidate,LB,Potato Late blight,4,False,52004
PLDD-UP,training_candidate,LB,Potato Late blight,PLDD-UP,training_candidate,LB,Potato Late blight,0,True,55437
PLDD-UP,training_candidate,LB,Potato Late blight,PLDD-UP,training_candidate,LB,Potato Late blight,1,True,42217
PLDD-UP,training_candidate,LB,Potato Late blight,PLDD-UP,training_candidate,LB,Potato Late blight,2,True,42445
PLDD-UP,training_candidate,LB,Potato Late blight,PLDD-UP,training_candidate,LB,Potato Late blight,3,True,43008
PLDD-UP,training_candidate,LB,Potato Late blight,PLDD-UP,training_candidate,LB,Potato Late blight,4,True,43643
PlantDoc,locked_test,Peach leaf,,PlantDoc,locked_test,Peach leaf,,4,True,1
PlantDoc,training_candidate,Apple Scab Leaf,Apple Apple scab,PlantDoc,training_candidate,Apple Scab Leaf,Apple Apple scab,0,True,1
PlantDoc,training_candidate,Bell_pepper leaf spot,,PlantDoc,training_candidate,Bell_pepper leaf spot,,0,True,3
PlantDoc,training_candidate,Bell_pepper leaf spot,,PlantDoc,training_candidate,Tomato Septoria leaf spot,Tomato Septoria leaf spot,2,False,1
PlantDoc,training_candidate,Cherry leaf,,PlantDoc,training_candidate,Cherry leaf,,1,True,1
PlantDoc,training_candidate,Corn Gray leaf spot,Corn Cercospora leaf spot,PlantDoc,training_candidate,Corn leaf blight,,1,False,1
PlantDoc,training_candidate,Corn leaf blight,,PlantDoc,training_candidate,Corn leaf blight,,0,True,2
PlantDoc,training_candidate,Corn leaf blight,,PlantDoc,training_candidate,Corn leaf blight,,1,True,3
PlantDoc,training_candidate,Corn leaf blight,,PlantDoc,training_candidate,Corn leaf blight,,2,True,1
PlantDoc,training_candidate,Corn rust leaf,,PlantDoc,training_candidate,Corn rust leaf,,0,True,1
PlantDoc,training_candidate,Peach leaf,,PlantDoc,training_candidate,Peach leaf,,3,True,1
