record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_00027c7d903bf027427a,near_31dfe7d9318f994c6861,false,false,0
rec_00093ea1355fc2b06c51,near_c1271635baa5451fe459,false,false,2
rec_0016b262206323e3e1f3,near_8c33a006608083881e40,false,false,1
rec_0022752b6eb623be70f0,near_11a661b6dc4f9a59337a,false,false,0
rec_00235cd10a45d853aeb4,near_365d43e2e2b055556ab9,false,false,3
rec_00268ed0eb22dc192e24,near_51368e2250a90911636b,false,false,0
rec_003897af6bd122ecb009,near_3b70774c5f206fd8a4e4,false,false,2
rec_003b9c1975bbdde11bdf,near_6b67a3d05c8f02032044,false,false,0
rec_003da3e2a2b770abad29,near_66843b2456b5d5d00703,false,false,1
rec_00462d50ecc09d70e879,near_2791da3a50be06fd2718,true,false,0
rec_00476f86311e6ad21393,near_2791da3a50be06fd2718,true,false,0
rec_004fe6e2286974e48edd,near_2791da3a50be06fd2718,true,false,1
rec_005c13d0dede813d329a,near_e1eeef864ee6d7dbaf67,false,false,2
rec_006059a894853d71dad3,near_e04d7e3597ec1823d6a3,false,false,0
rec_0066951bbf52040d5b4c,near_5a65e7bb27d5b34e5206,false,false,4
rec_008c696fff7e400ad02f,near_d754baa57ef6f42afb50,false,false,0
rec_008d49854029df32d1ac,near_2791da3a50be06fd2718,true,false,0
rec_008e5c109d3b26954ae3,near_2791da3a50be06fd2718,true,false,0
rec_0094c8855040aee1df45,near_f13ae78b1e66ac7949c6,false,false,4
rec_0098b521e9ec1edd9ab2,near_f9cd1c7ac3f890ce094f,false,false,1
rec_00a5c36ca06e573b0de2,near_d081b66785e7aafb4305,false,false,0
rec_00b05a92da7759004158,near_2791da3a50be06fd2718,true,false,0
rec_00bce69966fcef1e6a5e,near_2791da3a50be06fd2718,true,false,0
rec_00c1ff248260bc9f0556,near_2791da3a50be06fd2718,true,false,0
rec_00c2d5fdea2d9544a320,near_2791da3a50be06fd2718,true,false,0
rec_00c513e926daa66cb0e3,near_0c5adde669d5f78e8ca6,false,false,3
rec_00e23fdd9cab71efbe87,near_0ed0df38475cbdf8dade,false,false,0
rec_00e6ff8af37be3930c62,near_2791da3a50be06fd2718,true,false,2
rec_00e8a571ce9e1dd8c741,near_061bfca3308d720d5ee6,false,false,0
rec_00fcbd6525482f0abd4a,near_2791da3a50be06fd2718,true,false,0
rec_010c04a41b1d2d3fee9c,near_6751ff42f443c79e590a,false,false,1
rec_010cf108f0c10c723f65,near_a61c130d0ba64f71ff7e,false,false,0
rec_0111008cc8fa4edafc9f,near_efe270363fcb61356eaf,false,false,0
rec_01144e589b53320abfc8,near_ba79830ce07d80566e1d,false,false,1
rec_011a7d50f2cbffd330f5,near_2791da3a50be06fd2718,true,false,0
rec_011e6115227b61a92079,near_436f726b2b12bd4d2ba5,false,false,0
rec_012a487555e008426d85,near_ca379b35013c8621c2dd,false,false,1
rec_012a6a3d5fb7f4828788,near_e1eeef864ee6d7dbaf67,false,false,0
rec_013332c193cb46322b99,near_2791da3a50be06fd2718,true,false,0
rec_01358397b2335b8bb3dc,near_8b78214a800a7ec88f78,false,false,2
rec_013e5f164061b396c35f,near_2791da3a50be06fd2718,true,false,0
rec_01409e7cf03da8062092,near_efd1482ecd089784fa4b,false,false,0
