review_id,risk_type,dataset_a,record_a,target_a,dataset_b,record_b,target_b,dhash_distance,phash_distance,geometry_similarity,orb_good_matches,orb_match_ratio,orb_inlier_ratio,recommended_action,reason
review_6b8994527425ba34dca9,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_77fa9a0353fb8e309ea9,Potato Early blight,PLDD-UP,rec_00c2d5fdea2d9544a320,Potato healthy,1,16,1.00000000,189,0.23625000,0.58730159,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_9c1d83f7e76acbc5a1e2,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_47c64a210b9fc281e160,Potato Early blight,PLDD-UP,rec_0d5685dfa6453199dff7,Potato Late blight,0,16,1.00000000,18,0.07003891,0.66666667,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_e1e2ec451375788f62ae,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_463168bbbfc2512081a0,Potato Early blight,PLDD-UP,rec_04a9858761098b4fcba4,Potato Late blight,2,16,0.99861111,21,0.06953642,0.52380952,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_9c15b4c114b303337202,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_0f8a66ea63ca14cb04dd,Potato healthy,PLDD-UP,rec_09669e966886289fc7c2,Potato Late blight,4,16,1.00000000,30,0.05607477,0.50000000,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_acf84c14dd9e39c45b62,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_1005207ebc1725c9ed3e,Potato Early blight,PLDD-UP,rec_adcb4e6d7b82f377b26e,Potato Late blight,3,16,1.00000000,16,0.06130268,0.62500000,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_5331d98ddd9acf59ced5,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_940bf19cd8d232342494,Potato Early blight,PLDD-UP,rec_16b1c37019b5880cd2e9,Potato healthy,1,16,1.00000000,29,0.05069930,0.72413793,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_dc502eaef80ef9cce2e7,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_d3ff6dc39211d564e9f1,Potato Early blight,PLDD-UP,rec_8cc44d6b37133d4ee7eb,Potato healthy,1,16,1.00000000,32,0.05574913,0.68750000,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_fc21b2604aed9fcebda1,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_50d02d32af299c67da9e,Potato Early blight,PLDD-UP,rec_5bac303515d02cfa7d28,Potato Late blight,3,16,0.99861111,16,0.05442177,0.62500000,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_e237281850d1aa7bc827,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_fed57946d44b5cde832c,Potato healthy,PLDD-UP,rec_e0f4b9b52c079c37b922,Potato Late blight,0,16,1.00000000,23,0.05463183,0.86956522,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_c06d74e9f59543806d1b,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_a8933b4e1635e42222fb,Potato Early blight,PLDD-UP,rec_ef87a53254eef5b7b469,Potato Late blight,2,16,1.00000000,21,0.06481481,0.61904762,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_96cb3218d5273423d4be,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_af4610546cf4fc39d8f9,Potato Early blight,PLDD-UP,rec_d99c6744a3a62ddfc0b9,Potato Late blight,2,12,1.00000000,18,0.05471125,0.50000000,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_48293a12edfb994e350e,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_b5d1e7e9908893782e13,Potato Early blight,PLDD-UP,rec_d99c6744a3a62ddfc0b9,Potato Late blight,2,14,1.00000000,21,0.06382979,0.52380952,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
review_32c9667eee2897781170,PERCEPTUAL_LABEL_CONFLICT,PLDD-UP,rec_dae4825b2b633c93a8eb,Potato Early blight,PLDD-UP,rec_fb12cc0d4296c9cd8625,Potato Late blight,2,16,1.00000000,17,0.05263158,0.58823529,MANUAL_IDENTITY_REVIEW,Signals fall between the verified-match and false-positive bands.
