near_duplicate_group_id,review_category,pair_count_in_group,group_member_count,first_record_id,first_dataset,first_role,first_path,first_label,first_target_class,first_width,first_height,second_record_id,second_dataset,second_role,second_path,second_label,second_target_class,second_width,second_height,hamming_distance
near_2d4f5d1880cccd8e3f22,TRAIN_TO_LOCKED_BENCHMARK,1,2,rec_0b731dbdfe0dc92d27c7,PlantDoc,training_candidate,train/Tomato Early blight leaf/earlyblightpotato.jpg,Tomato Early blight leaf,Tomato Early blight,465,350,rec_85e4e59c240df45a562d,PlantDoc,locked_test,test/Potato leaf early blight/earlyblightpotato.jpg,Potato leaf early blight,Potato Early blight,465,350,0
near_2d544d6e25b4ceec78eb,TRAIN_TO_LOCKED_BENCHMARK,1,3,rec_6e607ae06daa1cfdf119,PlantDoc,training_candidate,train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,Tomato leaf late blight,Tomato Late blight,683,1024,rec_f407156ec69fc5b8946b,PlantDoc,locked_test,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,Potato leaf late blight,Potato Late blight,333,500,0
near_5b5f279cd299e1e6ee6c,TRAIN_TO_LOCKED_BENCHMARK,1,2,rec_53cb94d1685b02da173c,PlantDoc,training_candidate,train/Tomato leaf late blight/late_blight1.jpg,Tomato leaf late blight,Tomato Late blight,600,438,rec_a0c601bf391e3c67bdf5,PlantDoc,locked_test,test/Tomato leaf late blight/18c.jpg,Tomato leaf late blight,Tomato Late blight,350,255,0
near_9601a243d8767e3de2b5,TRAIN_TO_LOCKED_BENCHMARK,1,2,rec_a7684407e404afaa3ea0,PlantDoc,training_candidate,train/Tomato leaf bacterial spot/bacterial-canker3x2400-2ia1kgd.jpg,Tomato leaf bacterial spot,Tomato Bacterial spot,2400,2791,rec_22d4f572c300a299a4ac,PlantDoc,locked_test,test/Tomato leaf bacterial spot/07.17.18-Common_Tomato_Diseases_Canker-258x300.jpg,Tomato leaf bacterial spot,Tomato Bacterial spot,258,300,0
near_016921ce6c9d4ab318e1,DIFFERENT_TARGET,1,2,rec_10abb0617012ae33b24d,PlantDoc,training_candidate,train/Potato leaf late blight/Symptom_potato_late_blight.jpg,Potato leaf late blight,Potato Late blight,800,559,rec_c21dc1e1bcaa970e2df9,PlantDoc,training_candidate,train/Tomato Early blight leaf/126689-004-D622CD2F.jpg,Tomato Early blight leaf,Tomato Early blight,550,384,0
near_0345bebe454d10893756,DIFFERENT_TARGET,3,4,rec_1c3a826385563ebbc42f,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Gray_leaf_spot/IMG_20240210_154301.jpg,Gray_leaf_spot,Corn Cercospora leaf spot,200,200,rec_ad30a50fff963004e11e,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/IMG_20240210_154301.png,Healthy,Corn healthy,200,200,0
near_047b19ceecd359fb5204,DIFFERENT_TARGET,2,3,rec_c14f3f912a340ba7fd6f,PLDD-UP,training_candidate,EB/early-blight (81).jpg,EB,Potato Early blight,4624,3468,rec_54737082d27530cdfaa0,PLDD-UP,training_candidate,Healthy/healthy-leaf (2032).jpg,Healthy,Potato healthy,4624,3468,3
near_0911ecc044f51574ae04,DIFFERENT_TARGET,1,2,rec_e3a34171dfbb0e0773f8,PLDD-UP,training_candidate,EB/early-blight (3011).jpg,EB,Potato Early blight,719,1600,rec_8fa0b7e0287b1c51cf05,PLDD-UP,training_candidate,LB/late-blight (4462).jpg,LB,Potato Late blight,719,1600,4
near_11e863d585fac900cc7c,DIFFERENT_TARGET,2,3,rec_dd24617cde7cff033cde,PLDD-UP,training_candidate,EB/early-blight (581).jpg,EB,Potato Early blight,4624,3468,rec_8e07ff23abd058d76b59,PLDD-UP,training_candidate,Healthy/healthy-leaf (4430).jpg,Healthy,Potato healthy,4624,3468,3
near_16bfab9efa7a84029987,DIFFERENT_TARGET,1,2,rec_9564709e84495d343d26,PLDD-UP,training_candidate,EB/early-blight (559).jpg,EB,Potato Early blight,719,1600,rec_6d3d4242393207830c03,PLDD-UP,training_candidate,Healthy/healthy-leaf (1484).jpg,Healthy,Potato healthy,719,1600,2
