record_id,phash,review_resolution,refined_similarity_status,refined_group_id,refined_group_representative,resolved_cleaning_status,resolved_exclusion_reason
rec_00027c7d903bf027427a,a1cb2f6b94809c7b,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_51cc481dfeeab3aeea76,rec_00027c7d903bf027427a,INCLUDE,
rec_00093ea1355fc2b06c51,8533698b1c99a7f1,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_9d5405544625ea342685,rec_00093ea1355fc2b06c51,INCLUDE,
rec_0016b262206323e3e1f3,94f820a5d953c7ba,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_c5076b74418a641fd922,rec_0016b262206323e3e1f3,INCLUDE,
rec_0022752b6eb623be70f0,a07ee29e425e7c29,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_02597006a9bb7ff26537,rec_0022752b6eb623be70f0,INCLUDE,
rec_00235cd10a45d853aeb4,cad47d2b01272577,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_00268ed0eb22dc192e24,8b3969aaaf97a091,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_6f65afc1906a810cdd28,rec_00268ed0eb22dc192e24,INCLUDE,
rec_003897af6bd122ecb009,bd8cc23f2fb0048f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_076a11ed439ff0c3cdd5,rec_003897af6bd122ecb009,INCLUDE,
rec_003b9c1975bbdde11bdf,f13e4cd332e7024b,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_4123eefa79e24d22746e,rec_003b9c1975bbdde11bdf,INCLUDE,
rec_003da3e2a2b770abad29,aa6a51852f5ff428,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_00462d50ecc09d70e879,c7619936654ce699,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_00476f86311e6ad21393,c396ce99cc6c3931,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_004fe6e2286974e48edd,92cd8cc933678b66,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_005c13d0dede813d329a,94bc6f42c038bbe6,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_fba5593215b77440d321,rec_005c13d0dede813d329a,INCLUDE,
rec_006059a894853d71dad3,d0c03f6a2b2df465,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_683ca610980465809b43,rec_006059a894853d71dad3,INCLUDE,
rec_0066951bbf52040d5b4c,80c97f36e65f80e8,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_1f807e75ee217faf746b,rec_0066951bbf52040d5b4c,INCLUDE,
rec_008c696fff7e400ad02f,8a84dafad2904b3f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_b4d9ec8312a20da59889,rec_008c696fff7e400ad02f,INCLUDE,
rec_008d49854029df32d1ac,c638967392669b33,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_008e5c109d3b26954ae3,92349b33999b9399,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0094c8855040aee1df45,893c76c2e535983e,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_0098b521e9ec1edd9ab2,c575476a2f603f21,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_a23ac0e826d13750385f,rec_0098b521e9ec1edd9ab2,INCLUDE,
rec_00a5c36ca06e573b0de2,a76e138f1041fd71,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_abfed0c5db7da910459f,rec_00a5c36ca06e573b0de2,INCLUDE,
rec_00b05a92da7759004158,cb38986dcc969b92,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_f9e725374cef0e95a80d,rec_00b05a92da7759004158,INCLUDE,
rec_00bce69966fcef1e6a5e,8e32b379336d4d18,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_a5aa1ceabd9e0c0bc0b1,rec_00bce69966fcef1e6a5e,INCLUDE,
rec_00c1ff248260bc9f0556,cfcd694d32493a19,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_49a2771c3b840030a8e9,rec_00c1ff248260bc9f0556,INCLUDE,
rec_00c2d5fdea2d9544a320,cbcbc634cc61cc66,STILL_UNCERTAIN,VERIFIED_NEAR_DUPLICATE,refined_e6c7853a311d3c2a2e07,rec_00c2d5fdea2d9544a320,REVIEW,PERCEPTUAL_LABEL_CONFLICT
rec_00c513e926daa66cb0e3,aaac6a929c3fe80e,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_64dd7b12743064735df7,rec_00c513e926daa66cb0e3,INCLUDE,
rec_00e23fdd9cab71efbe87,aac6262bb8a5782f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_54cbbee69a9942cc7f75,rec_00e23fdd9cab71efbe87,INCLUDE,
rec_00e6ff8af37be3930c62,9b38c7cccb939c12,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_b8dc7231b7aead014ec8,rec_00e6ff8af37be3930c62,INCLUDE,
rec_00e8a571ce9e1dd8c741,cac3309afb815cd5,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_c5320723087c934d6cee,rec_00e8a571ce9e1dd8c741,INCLUDE,
rec_00fcbd6525482f0abd4a,9e79396d6d046549,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_b0e2268cf23a6de0154c,rec_00fcbd6525482f0abd4a,INCLUDE,
rec_010c04a41b1d2d3fee9c,9eacfedcb2011331,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_fc8c97871c5312fbd90c,rec_010c04a41b1d2d3fee9c,INCLUDE,
rec_010cf108f0c10c723f65,fc2c00d1f12dacde,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_7c43943852b0c09cf4e2,rec_010cf108f0c10c723f65,INCLUDE,
rec_0111008cc8fa4edafc9f,e5db91b632c57085,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_bd8551565545d73e1d5a,rec_0111008cc8fa4edafc9f,INCLUDE,
rec_01144e589b53320abfc8,da7c3edbc53402c2,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_fd7ba8da6782ae0a5aa5,rec_01144e589b53320abfc8,INCLUDE,
rec_011a7d50f2cbffd330f5,9b96381d326c9bc6,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_67c5da40473a56c0840c,rec_011a7d50f2cbffd330f5,INCLUDE,
rec_011e6115227b61a92079,ce5aa491c2cb774c,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_111f35d9a6ab64b7f1da,rec_011e6115227b61a92079,INCLUDE,
rec_012a487555e008426d85,f5a9d9666651544c,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_4c1d608c7a49ba747492,rec_012a487555e008426d85,INCLUDE,
rec_012a6a3d5fb7f4828788,90bc6f42c039bbe6,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_fba5593215b77440d321,rec_005c13d0dede813d329a,INCLUDE,
