refined_group_id,representative_record_id,member_count,training_member_count,locked_test_member_count,target_classes,datasets,similarity_method,minimum_dhash_distance,maximum_dhash_distance,minimum_phash_distance,maximum_phash_distance,minimum_orb_match_ratio,maximum_orb_match_ratio,minimum_orb_inlier_ratio,maximum_orb_inlier_ratio,risk_status
refined_51cc481dfeeab3aeea76,rec_00027c7d903bf027427a,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.91375000,0.91375000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_9d5405544625ea342685,rec_00093ea1355fc2b06c51,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,2,0,0,0.93315858,0.93315858,0.99719101,0.99719101,VERIFIED_NEAR_DUPLICATE
refined_c5076b74418a641fd922,rec_0016b262206323e3e1f3,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.94488189,0.94488189,0.99861111,0.99861111,VERIFIED_NEAR_DUPLICATE
refined_02597006a9bb7ff26537,rec_0022752b6eb623be70f0,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.93573265,0.93573265,0.99313187,0.99313187,VERIFIED_NEAR_DUPLICATE
refined_6f65afc1906a810cdd28,rec_00268ed0eb22dc192e24,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.91735537,0.91735537,0.99849850,0.99849850,VERIFIED_NEAR_DUPLICATE
refined_076a11ed439ff0c3cdd5,rec_003897af6bd122ecb009,3,3,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,2,2,2,0.68761905,0.69043152,0.93478261,0.96398892,VERIFIED_NEAR_DUPLICATE
refined_4123eefa79e24d22746e,rec_003b9c1975bbdde11bdf,3,3,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95375000,0.99375000,0.99868938,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_fba5593215b77440d321,rec_005c13d0dede813d329a,4,4,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,3,0,2,0.59000000,0.72000000,0.95625000,0.98263889,VERIFIED_NEAR_DUPLICATE
refined_683ca610980465809b43,rec_006059a894853d71dad3,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.88388970,0.88388970,0.98686371,0.98686371,VERIFIED_NEAR_DUPLICATE
refined_1f807e75ee217faf746b,rec_0066951bbf52040d5b4c,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,4,4,0,0,0.74395448,0.74395448,0.93690249,0.93690249,VERIFIED_NEAR_DUPLICATE
